,person,cantidad_sesiones,promedio_sesiones_sec,tiempo_total_sesiones_sec,samsung_vistos,iphone_vistos,motorola_vistos,total_marcas_vistas,%_vistos_samsung,%_vistos_motorola,%_vistos_iphone,modelos_vistos,modelos_distintos,sku_distintos,#Camino,compro,#pasos_antes_comprar,primera_actividad_ultimo_paso,ultima_actividad,primera_actividad,# Actividades,act_ult_30_dias,act_ult_20_dias,act_ult_15_dias,act_ult_5_dias,act_ult_1_dias,act_ult_25_dias,act_ult_10_dias,check_ult_30_dias,check_ult_25_dias,check_ult_20_dias,check_ult_15_dias,check_ult_10_dias,check_ult_5_dias,check_ult_1_dias,label
12727,47c33c75,19,701.0,13325.0,2.0,44.0,2.0,48.0,0.041666666666666664,0.041666666666666664,0.9166666666666666,48.0,10.0,27.0,0,0,151,55,0,55,151,95.0,72.0,57.0,16.0,7.0,72.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12766,48071045,20,799.0,15975.000000000002,13.0,111.0,26.0,150.0,0.08666666666666667,0.17333333333333334,0.74,157.0,29.0,69.0,0,0,384,26,0,26,384,384.0,290.0,290.0,229.0,45.0,290.0,251.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0
12807,48488f7d,15,252.00000000000003,3776.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,7.0,37.0,0,0,136,12,0,12,136,136.0,136.0,136.0,42.0,14.0,136.0,78.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0
12815,48581fab,13,384.0,4993.0,3.0,10.0,1.0,14.0,0.21428571428571427,0.07142857142857142,0.7142857142857143,14.0,6.0,7.0,0,1,69,24,6,24,88,88.0,46.0,31.0,0.0,0.0,88.0,31.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
12831,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,0,1,37,15,14,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12832,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,1,1,1,14,14,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12833,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,2,1,1,14,14,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12834,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,3,1,12,14,14,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12835,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,4,1,7,14,13,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12836,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,5,1,1,13,13,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12837,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,6,1,5,13,13,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12838,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,7,1,11,13,13,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12839,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,8,1,1,11,11,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12840,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,9,1,4,11,11,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12841,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,10,1,89,11,1,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12842,48716370,17,664.0,11285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,7.0,50.0,11,0,15,1,1,15,184,184.0,184.0,180.0,18.0,0.0,184.0,83.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0
12845,4875fe11,3,412.0,1236.0,9.0,15.0,0.0,24.0,0.375,0.0,0.625,24.0,7.0,18.0,0,0,46,12,7,12,46,46.0,46.0,46.0,0.0,0.0,46.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
12863,48971f23,12,366.0,4397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,14.0,0,0,95,135,29,135,95,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12880,48afa4ea,3,650.0,1949.0000000000002,23.0,0.0,0.0,23.0,1.0,0.0,0.0,24.0,3.0,11.0,0,0,36,7,5,7,36,36.0,36.0,36.0,0.0,0.0,36.0,36.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
12890,48bc41c0,2,554.0,1108.0,8.0,0.0,0.0,8.0,1.0,0.0,0.0,8.0,2.0,5.0,0,0,22,7,6,7,22,22.0,22.0,22.0,0.0,0.0,22.0,22.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
12924,48ebbb17,10,295.0,2946.0,29.0,47.0,0.0,76.0,0.3815789473684211,0.0,0.618421052631579,76.0,9.0,46.0,0,0,118,58,8,58,118,100.0,100.0,100.0,0.0,0.0,100.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
12951,49179d29,2,4.0,8.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,0,0,6,0,0,0,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12969,493b2082,2,59.00000000000001,118.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0,0,9,5,5,5,9,9.0,9.0,9.0,0.0,0.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
12976,493f068a,36,243.00000000000003,8737.0,71.0,48.0,7.0,126.0,0.5634920634920635,0.05555555555555555,0.38095238095238093,141.0,45.0,91.0,0,0,408,140,31,140,408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12987,49496414,20,269.0,5384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,10.0,2,0,55,13,4,13,84,84.0,84.0,84.0,12.0,0.0,84.0,40.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0
13004,4964277e,2,108.0,216.0,7.0,0.0,0.0,7.0,1.0,0.0,0.0,7.0,2.0,6.0,0,0,15,3,2,3,15,15.0,15.0,15.0,15.0,0.0,15.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
13007,496ce6a8,6,232.00000000000003,1394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,4.0,48.0,0,0,129,15,2,15,129,129.0,129.0,73.0,11.0,0.0,129.0,56.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13008,496d1bf0,12,697.0,8363.0,11.0,176.0,0.0,187.0,0.058823529411764705,0.0,0.9411764705882353,192.0,26.0,77.0,0,0,246,100,10,100,246,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13011,496ef3e5,4,416.0,1665.0,4.0,6.0,0.0,10.0,0.4,0.0,0.6,10.0,6.0,8.0,0,1,4,78,78,78,35,18.0,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13012,496ef3e5,4,416.0,1665.0,4.0,6.0,0.0,10.0,0.4,0.0,0.6,10.0,6.0,8.0,1,1,8,78,56,78,35,18.0,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13013,496ef3e5,4,416.0,1665.0,4.0,6.0,0.0,10.0,0.4,0.0,0.6,10.0,6.0,8.0,2,1,1,56,56,78,35,18.0,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13014,496ef3e5,4,416.0,1665.0,4.0,6.0,0.0,10.0,0.4,0.0,0.6,10.0,6.0,8.0,3,1,1,56,56,78,35,18.0,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13015,496ef3e5,4,416.0,1665.0,4.0,6.0,0.0,10.0,0.4,0.0,0.6,10.0,6.0,8.0,4,0,21,56,7,78,35,18.0,18.0,18.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13103,49d9297b,5,1152.0,5758.0,4.0,0.0,10.0,14.0,0.2857142857142857,0.7142857142857143,0.0,15.0,6.0,7.0,0,0,47,12,10,12,47,47.0,47.0,47.0,0.0,0.0,47.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
13136,49fd591b,3,95.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0,0,14,6,5,6,14,14.0,14.0,14.0,0.0,0.0,14.0,14.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
13144,4a0539b0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,8,8,8,3,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13158,4a20258e,1,1156.0,1156.0,6.0,19.0,3.0,28.0,0.21428571428571427,0.10714285714285714,0.6785714285714286,28.0,8.0,21.0,0,0,34,1,1,1,34,34.0,34.0,34.0,34.0,0.0,34.0,34.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
13186,4a473eb7,9,259.0,2333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0,24.0,0,0,89,65,1,65,89,78.0,78.0,78.0,39.0,0.0,78.0,58.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0
13199,4a635360,25,402.0,10038.0,100.0,109.0,44.0,253.0,0.3952569169960474,0.17391304347826086,0.4308300395256917,272.0,34.0,126.0,0,1,1,77,77,77,386,279.0,146.0,146.0,38.0,0.0,279.0,137.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0
13200,4a635360,25,402.0,10038.0,100.0,109.0,44.0,253.0,0.3952569169960474,0.17391304347826086,0.4308300395256917,272.0,34.0,126.0,1,1,332,77,7,77,386,279.0,146.0,146.0,38.0,0.0,279.0,137.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0
13201,4a635360,25,402.0,10038.0,100.0,109.0,44.0,253.0,0.3952569169960474,0.17391304347826086,0.4308300395256917,272.0,34.0,126.0,2,1,51,7,1,77,386,279.0,146.0,146.0,38.0,0.0,279.0,137.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0
13202,4a635360,25,402.0,10038.0,100.0,109.0,44.0,253.0,0.3952569169960474,0.17391304347826086,0.4308300395256917,272.0,34.0,126.0,3,0,2,1,1,77,386,279.0,146.0,146.0,38.0,0.0,279.0,137.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0
13220,4a78636f,4,358.0,1431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,6.0,0,0,26,72,9,72,26,12.0,12.0,12.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13222,4a7d3c41,6,1569.0,9415.0,16.0,0.0,0.0,16.0,1.0,0.0,0.0,16.0,5.0,9.0,0,1,9,11,11,11,42,42.0,42.0,42.0,0.0,0.0,42.0,8.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
13231,4a915ec2,7,1789.0,12522.0,92.0,16.0,0.0,108.0,0.8518518518518519,0.0,0.14814814814814814,108.0,11.0,45.0,0,0,158,8,3,8,158,158.0,158.0,158.0,78.0,0.0,158.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13253,4ab14a35,4,596.0,2384.0,10.0,37.0,10.0,57.0,0.17543859649122806,0.17543859649122806,0.6491228070175439,70.0,24.0,48.0,0,0,87,29,5,29,87,87.0,64.0,64.0,0.0,0.0,64.0,64.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13255,4ab57b8a,8,876.0,7005.0,38.0,0.0,0.0,38.0,1.0,0.0,0.0,38.0,12.0,23.0,0,1,66,43,2,43,89,65.0,57.0,57.0,54.0,0.0,57.0,57.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
13262,4ac06f4c,2,58.00000000000001,115.00000000000001,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,1,8,9,9,9,8,8.0,8.0,8.0,0.0,0.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13283,4adf50c0,3,986.0000000000001,2958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,12.0,1,1,7,15,15,16,34,34.0,34.0,0.0,0.0,0.0,34.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
13288,4ae8a15b,1,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,4,8,8,8,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13294,4aeb5dda,13,54.0,699.0,1.0,37.0,0.0,38.0,0.02631578947368421,0.0,0.9736842105263158,38.0,6.0,29.0,0,0,98,146,28,146,98,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13301,4af7c773,1,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,5,5,5,5,5,5.0,5.0,5.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13314,4b0d4a9b,17,248.00000000000003,4222.0,29.0,2.0,28.0,59.0,0.4915254237288136,0.4745762711864407,0.03389830508474576,70.0,24.0,54.0,0,0,133,86,58,86,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13330,4b1c554f,2,10.0,19.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,6,1,1,1,6,6.0,6.0,6.0,6.0,0.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
13332,4b1f25c2,1,552.0,552.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0,0,11,10,10,10,11,11.0,11.0,11.0,0.0,0.0,11.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
13344,4b270aa3,12,245.00000000000003,2945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,8.0,35.0,3,0,35,8,0,38,123,113.0,113.0,90.0,3.0,1.0,113.0,83.0,8.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0
13347,4b2a81fa,1,103.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,6.0,0,0,15,14,14,14,15,15.0,15.0,15.0,0.0,0.0,15.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
13385,4b56abd6,6,555.0,3329.0,50.0,0.0,0.0,50.0,1.0,0.0,0.0,50.0,4.0,18.0,0,0,91,26,4,26,91,91.0,74.0,74.0,51.0,0.0,74.0,65.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
13438,4ba571a1,4,0.0,2.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,3.0,4.0,0,0,12,30,2,30,12,9.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13463,4bc8b017,1,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,0,0,10,12,12,12,10,10.0,10.0,10.0,0.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
13494,4bef1381,1,8.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,4,1,1,1,4,4.0,4.0,4.0,4.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
13499,4bf8e237,3,1601.0,4804.0,20.0,0.0,6.0,26.0,0.7692307692307693,0.23076923076923078,0.0,36.0,8.0,24.0,0,0,57,2,1,2,57,57.0,57.0,57.0,57.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13506,4c002b61,2,842.0,1684.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,4.0,6.0,0,0,17,46,46,46,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13508,4c00b084,22,675.0,14851.000000000002,22.0,70.0,1.0,93.0,0.23655913978494625,0.010752688172043012,0.7526881720430108,100.0,32.0,68.0,0,0,252,95,0,95,252,133.0,103.0,103.0,90.0,26.0,120.0,93.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0
13511,4c032191,1,142.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0,0,11,6,6,6,11,11.0,11.0,11.0,0.0,0.0,11.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13525,4c196c48,1,1279.0,1279.0,15.0,1.0,0.0,16.0,0.9375,0.0,0.0625,16.0,3.0,7.0,0,0,30,37,37,37,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13527,4c1e9658,3,25.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,14,9,3,9,14,14.0,14.0,14.0,6.0,0.0,14.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
13566,4c4ea362,4,505.00000000000006,2019.0000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,0,0,27,16,0,16,27,27.0,27.0,24.0,15.0,15.0,27.0,24.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13614,4c8e0148,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,18,18,18,3,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13629,4cad42fd,2,110.0,221.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,14,13,13,13,14,14.0,14.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13677,4cf80018,6,163.0,980.0000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,0,0,27,137,4,137,27,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13694,4d149696,11,575.0,6330.0,9.0,224.0,0.0,233.0,0.03862660944206009,0.0,0.9613733905579399,235.0,10.0,101.0,0,0,277,65,12,65,277,35.0,35.0,26.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13697,4d1696c4,6,433.0,2597.0,15.0,3.0,26.0,44.0,0.3409090909090909,0.5909090909090909,0.06818181818181818,46.0,13.0,24.0,0,0,82,11,5,11,82,82.0,82.0,82.0,0.0,0.0,82.0,76.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13705,4d235f46,5,739.0,3693.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,15.0,0,0,66,21,13,21,66,66.0,60.0,12.0,0.0,0.0,66.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
13715,4d2f1297,2,1262.0,2523.0,1.0,0.0,11.0,12.0,0.08333333333333333,0.9166666666666666,0.0,18.0,7.0,15.0,0,0,24,0,0,0,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13740,4d51cae5,3,649.0,1946.0000000000002,1.0,1.0,0.0,2.0,0.5,0.0,0.5,2.0,2.0,2.0,0,0,21,23,9,23,21,21.0,5.0,5.0,0.0,0.0,21.0,5.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
13748,4d6695e3,4,101.0,405.0,3.0,3.0,6.0,12.0,0.25,0.5,0.25,12.0,4.0,11.0,0,0,28,119,13,119,28,11.0,11.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13749,4d66ba19,8,1212.0,9696.0,25.0,0.0,0.0,25.0,1.0,0.0,0.0,26.0,7.0,15.0,0,1,64,25,18,25,83,83.0,50.0,0.0,0.0,0.0,75.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
13775,4d890ebf,5,353.0,1764.0,6.0,4.0,12.0,22.0,0.2727272727272727,0.5454545454545454,0.18181818181818182,26.0,15.0,17.0,0,0,51,9,9,9,51,51.0,51.0,51.0,0.0,0.0,51.0,51.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13803,4dba5578,1,1094.0,1094.0,8.0,8.0,3.0,19.0,0.42105263157894735,0.15789473684210525,0.42105263157894735,21.0,11.0,16.0,0,0,34,13,13,13,34,34.0,34.0,34.0,0.0,0.0,34.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
13825,4dd513b3,35,764.0,26736.0,12.0,3.0,99.0,114.0,0.10526315789473684,0.868421052631579,0.02631578947368421,115.0,29.0,65.0,0,1,147,90,85,90,378,101.0,79.0,58.0,14.0,0.0,101.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13826,4dd513b3,35,764.0,26736.0,12.0,3.0,99.0,114.0,0.10526315789473684,0.868421052631579,0.02631578947368421,115.0,29.0,65.0,1,1,27,85,84,90,378,101.0,79.0,58.0,14.0,0.0,101.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13827,4dd513b3,35,764.0,26736.0,12.0,3.0,99.0,114.0,0.10526315789473684,0.868421052631579,0.02631578947368421,115.0,29.0,65.0,2,0,204,84,1,90,378,101.0,79.0,58.0,14.0,0.0,101.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13835,4ddbaa31,2,628.0,1255.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1,0,2,16,16,16,12,12.0,12.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13840,4de2479a,10,625.0,6254.0,16.0,0.0,21.0,37.0,0.43243243243243246,0.5675675675675675,0.0,76.0,18.0,39.0,0,1,33,91,79,91,122,50.0,50.0,50.0,33.0,0.0,50.0,50.0,6.0,6.0,6.0,6.0,6.0,2.0,0.0,1.0
13841,4de2479a,10,625.0,6254.0,16.0,0.0,21.0,37.0,0.43243243243243246,0.5675675675675675,0.0,76.0,18.0,39.0,1,1,80,70,2,91,122,50.0,50.0,50.0,33.0,0.0,50.0,50.0,6.0,6.0,6.0,6.0,6.0,2.0,0.0,1.0
13842,4de2479a,10,625.0,6254.0,16.0,0.0,21.0,37.0,0.43243243243243246,0.5675675675675675,0.0,76.0,18.0,39.0,2,0,9,2,2,91,122,50.0,50.0,50.0,33.0,0.0,50.0,50.0,6.0,6.0,6.0,6.0,6.0,2.0,0.0,1.0
13860,4df4c7fb,1,173.0,173.0,9.0,0.0,0.0,9.0,1.0,0.0,0.0,9.0,1.0,5.0,0,0,13,10,10,10,13,13.0,13.0,13.0,0.0,0.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
13872,4e072ed7,4,596.0,2386.0,12.0,0.0,3.0,15.0,0.8,0.2,0.0,19.0,12.0,15.0,0,0,50,50,1,50,50,17.0,17.0,17.0,17.0,0.0,17.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
13884,4e1a1d12,1,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,4,14,14,14,4,4.0,4.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
13885,4e1b149b,1,1716.0,1716.0,5.0,7.0,0.0,12.0,0.4166666666666667,0.0,0.5833333333333334,12.0,4.0,7.0,0,0,18,1,1,1,18,18.0,18.0,18.0,18.0,0.0,18.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
13896,4e2f9fac,3,842.0,2526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,5.0,22.0,0,0,59,16,13,16,59,59.0,59.0,12.0,0.0,0.0,59.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
13899,4e32793f,5,466.00000000000006,2328.0,6.0,8.0,0.0,14.0,0.42857142857142855,0.0,0.5714285714285714,14.0,5.0,10.0,0,0,51,6,0,6,51,51.0,51.0,51.0,18.0,8.0,51.0,51.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13922,4e560208,22,825.0,18158.0,20.0,8.0,35.0,63.0,0.31746031746031744,0.5555555555555556,0.12698412698412698,65.0,20.0,41.0,0,1,40,142,140,142,185,51.0,51.0,22.0,20.0,0.0,51.0,20.0,7.0,7.0,7.0,1.0,1.0,1.0,0.0,1.0
13923,4e560208,22,825.0,18158.0,20.0,8.0,35.0,63.0,0.31746031746031744,0.5555555555555556,0.12698412698412698,65.0,20.0,41.0,1,1,46,140,124,142,185,51.0,51.0,22.0,20.0,0.0,51.0,20.0,7.0,7.0,7.0,1.0,1.0,1.0,0.0,1.0
13924,4e560208,22,825.0,18158.0,20.0,8.0,35.0,63.0,0.31746031746031744,0.5555555555555556,0.12698412698412698,65.0,20.0,41.0,2,1,57,118,17,142,185,51.0,51.0,22.0,20.0,0.0,51.0,20.0,7.0,7.0,7.0,1.0,1.0,1.0,0.0,1.0
13925,4e560208,22,825.0,18158.0,20.0,8.0,35.0,63.0,0.31746031746031744,0.5555555555555556,0.12698412698412698,65.0,20.0,41.0,3,1,1,17,17,142,185,51.0,51.0,22.0,20.0,0.0,51.0,20.0,7.0,7.0,7.0,1.0,1.0,1.0,0.0,1.0
