,person,cant_sesiones_inac45MIN_ult_9999_dias,promedio_sesiones_sec_inac45MIN_ult_9999_dias,tiempo_total_sesiones_sec_inac45MIN_ult_9999_dias,cant_sesiones_inac45MIN_ult_30_dias,promedio_sesiones_sec_inac45MIN_ult_30_dias,tiempo_total_sesiones_sec_inac45MIN_ult_30_dias,cant_sesiones_inac45MIN_ult_25_dias,promedio_sesiones_sec_inac45MIN_ult_25_dias,tiempo_total_sesiones_sec_inac45MIN_ult_25_dias,cant_sesiones_inac45MIN_ult_20_dias,promedio_sesiones_sec_inac45MIN_ult_20_dias,tiempo_total_sesiones_sec_inac45MIN_ult_20_dias,cant_sesiones_inac45MIN_ult_15_dias,promedio_sesiones_sec_inac45MIN_ult_15_dias,tiempo_total_sesiones_sec_inac45MIN_ult_15_dias,cant_sesiones_inac45MIN_ult_10_dias,promedio_sesiones_sec_inac45MIN_ult_10_dias,tiempo_total_sesiones_sec_inac45MIN_ult_10_dias,cant_sesiones_inac45MIN_ult_5_dias,promedio_sesiones_sec_inac45MIN_ult_5_dias,tiempo_total_sesiones_sec_inac45MIN_ult_5_dias,cant_sesiones_inac45MIN_ult_1_dias,promedio_sesiones_sec_inac45MIN_ult_1_dias,tiempo_total_sesiones_sec_inac45MIN_ult_1_dias,samsung_vistos,iphone_vistos,motorola_vistos,total_marcas_vistas,%_vistos_samsung,%_vistos_motorola,%_vistos_iphone,modelos_vistos,modelos_distintos,sku_distintos,#Camino,compro,#pasos_antes_comprar,primera_actividad_ultimo_paso,ultima_actividad,primera_actividad,# Actividades,check_ult_9999_dias,check_ult_30_dias,check_ult_25_dias,check_ult_20_dias,check_ult_15_dias,check_ult_10_dias,check_ult_5_dias,check_ult_1_dias,act_ult_9999_dias,act_ult_30_dias,act_ult_25_dias,act_ult_20_dias,act_ult_15_dias,act_ult_10_dias,act_ult_5_dias,act_ult_1_dias,conv_ult_9999_dias,conv_ult_30_dias,conv_ult_25_dias,conv_ult_20_dias,conv_ult_15_dias,conv_ult_10_dias,conv_ult_5_dias,conv_ult_1_dias,mod_dist_check_ult_9999_dias,mod_dist_check_ult_30_dias,mod_dist_check_ult_25_dias,mod_dist_check_ult_20_dias,mod_dist_check_ult_15_dias,mod_dist_check_ult_10_dias,mod_dist_check_ult_5_dias,mod_dist_check_ult_1_dias,label
3572,17b65b04,22,772.0,16977.0,3.0,2422.0,7266.0,3.0,2422.0,7266.0,3.0,2422.0,7266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,164.0,0.0,165.0,0.006060606060606061,0.0,0.9939393939393939,170.0,14.0,75.0,2,0,6,16,16,141,230,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,230,31.0,31.0,31.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3638,181cfff7,2,346.0,692.0,2.0,346.0,692.0,2.0,346.0,692.0,2.0,346.0,692.0,2.0,346.0,692.0,2.0,346.0,692.0,2.0,346.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,0,0,20,2,1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3649,182fd462,1,27.0,27.0,1.0,27.0,27.0,1.0,27.0,27.0,1.0,27.0,27.0,1.0,27.0,27.0,1.0,27.0,27.0,1.0,27.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,4,2,2,2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3652,1836c63e,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,31,31,31,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3693,187e19a3,1,44.0,44.0,1.0,44.0,44.0,1.0,44.0,44.0,1.0,44.0,44.0,1.0,44.0,44.0,1.0,44.0,44.0,1.0,44.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,4,2,2,2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3710,189c451b,5,567.0,2835.0,3.0,567.0,1701.0,3.0,567.0,1701.0,3.0,567.0,1701.0,2.0,178.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,1.0,42.0,0.047619047619047616,0.023809523809523808,0.9285714285714286,44.0,15.0,31.0,0,0,77,50,13,50,77,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,77,45.0,45.0,45.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
3763,18e77b0a,3,518.0,1555.0,3.0,518.0,1555.0,3.0,518.0,1555.0,3.0,518.0,1555.0,3.0,518.0,1555.0,3.0,518.0,1555.0,2.0,250.00000000000003,501.00000000000006,1.0,106.0,106.0,6.0,8.0,0.0,14.0,0.42857142857142855,0.0,0.5714285714285714,68.0,8.0,27.0,0,0,100,6,0,6,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100,100.0,100.0,100.0,100.0,100.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
3777,18f39a0c,11,1230.0,13529.0,8.0,1644.0,13155.0,8.0,1644.0,13155.0,8.0,1644.0,13155.0,8.0,1644.0,13155.0,8.0,1644.0,13155.0,3.0,3163.0,9489.0,0.0,0.0,0.0,93.0,94.0,19.0,206.0,0.45145631067961167,0.09223300970873786,0.4563106796116505,218.0,32.0,88.0,0,0,251,42,2,42,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,223.0,223.0,223.0,223.0,223.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3795,190f9a00,1,29.000000000000004,29.000000000000004,1.0,29.000000000000004,29.000000000000004,1.0,29.000000000000004,29.000000000000004,1.0,29.000000000000004,29.000000000000004,1.0,29.000000000000004,29.000000000000004,1.0,29.000000000000004,29.000000000000004,1.0,29.000000000000004,29.000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,4,1,1,1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3831,196292f4,1,556.0,556.0,1.0,556.0,556.0,1.0,556.0,556.0,1.0,556.0,556.0,1.0,556.0,556.0,1.0,556.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10,7,7,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3848,197a619e,2,16.0,32.0,1.0,3.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,8,68,20,68,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3870,199cf3c4,14,804.0,11256.0,14.0,804.0,11256.0,14.0,804.0,11256.0,14.0,804.0,11256.0,14.0,804.0,11256.0,14.0,804.0,11256.0,7.0,83.0,584.0,0.0,0.0,0.0,109.0,0.0,0.0,109.0,1.0,0.0,0.0,109.0,10.0,47.0,2,0,25,5,2,9,168,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,168,168.0,168.0,168.0,168.0,168.0,22.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0
3912,19ed4344,17,665.0,11306.0,17.0,665.0,11306.0,17.0,665.0,11306.0,17.0,665.0,11306.0,16.0,610.0,9752.0,12.0,774.0,9289.0,10.0,680.0,6805.0,2.0,764.0,1528.0,25.0,56.0,0.0,81.0,0.30864197530864196,0.0,0.691358024691358,81.0,9.0,36.0,0,1,200,17,0,17,200,12.0,12.0,12.0,12.0,8.0,8.0,7.0,1.0,200,200.0,200.0,200.0,178.0,145.0,118.0,44.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0
3915,19f17086,2,731.0,1462.0,2.0,731.0,1462.0,2.0,731.0,1462.0,2.0,731.0,1462.0,2.0,731.0,1462.0,2.0,731.0,1462.0,2.0,731.0,1462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,7.0,0,0,20,1,1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3929,1a16d494,1,2715.0,2715.0,1.0,2715.0,2715.0,1.0,2715.0,2715.0,1.0,2715.0,2715.0,1.0,2715.0,2715.0,1.0,2715.0,2715.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,22.0,0.09090909090909091,0.9090909090909091,0.0,25.0,7.0,17.0,0,0,50,8,8,8,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,50,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3941,1a2e3e29,7,326.0,2285.0,7.0,326.0,2285.0,7.0,326.0,2285.0,7.0,326.0,2285.0,7.0,326.0,2285.0,5.0,411.0,2055.0,1.0,178.0,178.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,2.0,4.0,1,0,23,7,3,14,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,39,39.0,39.0,39.0,39.0,31.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3987,1a7e1231,1,10.0,10.0,1.0,10.0,10.0,1.0,10.0,10.0,1.0,10.0,10.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,4,13,13,13,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4007,1a92f5b1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,116,116,116,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4046,1adba253,2,733.0,1466.0,2.0,733.0,1466.0,2.0,733.0,1466.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,13.0,0.9230769230769231,0.0,0.07692307692307693,13.0,5.0,12.0,0,0,37,20,18,20,37,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37,37.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4063,1af68b74,2,1134.0,2268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,9.0,0,0,26,123,122,123,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4064,1afbc2ef,1,428.0,428.0,1.0,428.0,428.0,1.0,428.0,428.0,1.0,428.0,428.0,1.0,428.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,9.0,0,0,22,12,12,12,22,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4073,1b0ec4ec,78,507.00000000000006,39532.0,26.0,200.0,5205.0,25.0,207.0,5181.0,17.0,120.00000000000001,2040.0000000000002,11.0,36.0,396.0,4.0,24.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,900.0,9.0,926.0,0.0183585313174946,0.009719222462203024,0.9719222462203023,926.0,16.0,195.0,3,0,835,64,6,69,1167,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1167,162.0,158.0,85.0,37.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4078,1b17b334,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,3,103,103,103,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4130,1b59ca78,12,544.0,6527.0,11.0,574.0,6317.0,11.0,574.0,6317.0,11.0,574.0,6317.0,10.0,455.0,4548.0,9.0,451.0,4059.0000000000005,6.0,382.0,2291.0,2.0,421.0,842.0,59.0,129.0,5.0,193.0,0.30569948186528495,0.025906735751295335,0.6683937823834197,193.0,22.0,103.0,0,0,240,115,0,115,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240,231.0,231.0,231.0,198.0,173.0,82.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4147,1b743501,3,257.0,770.0,3.0,257.0,770.0,3.0,257.0,770.0,2.0,223.0,446.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,7.0,0.8571428571428571,0.0,0.14285714285714285,7.0,6.0,6.0,0,0,28,23,9,23,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,28.0,28.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4155,1b835cc0,1,228.0,228.0,1.0,228.0,228.0,1.0,228.0,228.0,1.0,228.0,228.0,1.0,228.0,228.0,1.0,228.0,228.0,1.0,228.0,228.0,0.0,0.0,0.0,9.0,21.0,0.0,30.0,0.3,0.0,0.7,39.0,4.0,22.0,0,0,43,4,4,4,43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,43,43.0,43.0,43.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
4188,1bc7f14b,3,151.0,452.0,3.0,151.0,452.0,3.0,151.0,452.0,3.0,151.0,452.0,3.0,151.0,452.0,3.0,151.0,452.0,1.0,116.00000000000001,116.00000000000001,1.0,116.00000000000001,116.00000000000001,11.0,0.0,0.0,11.0,1.0,0.0,0.0,11.0,3.0,9.0,0,0,35,6,0,6,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,35.0,35.0,35.0,35.0,35.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4189,1bc807ce,3,1373.0,4120.0,3.0,1373.0,4120.0,3.0,1373.0,4120.0,2.0,352.0,704.0,2.0,352.0,704.0,2.0,352.0,704.0,1.0,704.0,704.0,0.0,0.0,0.0,12.0,68.0,0.0,80.0,0.15,0.0,0.85,83.0,9.0,37.0,0,0,166,21,2,21,166,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,166,166.0,166.0,56.0,56.0,56.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
4198,1bd6991e,3,476.00000000000006,1427.0,1.0,293.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,5.0,5.0,0,0,30,41,27,41,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4203,1be6a8c9,3,141.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,3.0,0,0,28,57,54,57,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4211,1bf1aeef,3,2771.0,8312.0,3.0,2771.0,8312.0,3.0,2771.0,8312.0,3.0,2771.0,8312.0,3.0,2771.0,8312.0,3.0,2771.0,8312.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,23.0,28.0,166.0,0.6927710843373494,0.1686746987951807,0.13855421686746988,169.0,31.0,83.0,0,0,206,6,5,6,206,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,206,206.0,206.0,206.0,206.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4220,1bf887bc,6,228.0,1367.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,11.0,1.0,0.0,0.0,11.0,5.0,6.0,0,0,23,57,0,57,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4223,1bf9ead1,2,208.0,415.0,2.0,208.0,415.0,2.0,208.0,415.0,2.0,208.0,415.0,2.0,208.0,415.0,2.0,208.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,0.6666666666666666,0.0,0.3333333333333333,6.0,5.0,5.0,0,0,30,8,6,8,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,30,30.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4256,1c3a4e83,17,975.0000000000001,16572.0,17.0,975.0000000000001,16572.0,17.0,975.0000000000001,16572.0,16.0,871.0,13941.0,11.0,945.0000000000001,10390.0,5.0,1363.0,6814.0,2.0,2333.0,4666.0,0.0,0.0,0.0,28.0,1.0,12.0,41.0,0.6829268292682927,0.2926829268292683,0.024390243902439025,46.0,15.0,20.0,0,0,115,20,1,20,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,115.0,115.0,106.0,66.0,37.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4276,1c6dd51b,11,1570.0,17265.0,11.0,1570.0,17265.0,11.0,1570.0,17265.0,11.0,1570.0,17265.0,11.0,1570.0,17265.0,11.0,1570.0,17265.0,9.0,1629.0,14659.000000000002,6.0,1210.0,7257.0,115.0,5.0,5.0,125.0,0.92,0.04,0.04,125.0,11.0,37.0,0,0,174,9,0,9,174,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,174,174.0,174.0,174.0,174.0,174.0,142.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
4284,1c7f0e39,1,183.0,183.0,1.0,183.0,183.0,1.0,183.0,183.0,1.0,183.0,183.0,1.0,183.0,183.0,1.0,183.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0,0,18,8,8,8,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,18,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4291,1c8c689c,4,1937.0000000000002,7747.000000000001,4.0,1937.0000000000002,7747.000000000001,4.0,1937.0000000000002,7747.000000000001,4.0,1937.0000000000002,7747.000000000001,4.0,1937.0000000000002,7747.000000000001,4.0,1937.0000000000002,7747.000000000001,4.0,1937.0000000000002,7747.000000000001,1.0,1022.0000000000001,1022.0000000000001,48.0,18.0,16.0,82.0,0.5853658536585366,0.1951219512195122,0.21951219512195122,83.0,23.0,45.0,0,0,107,2,0,2,107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,107,107.0,107.0,107.0,107.0,107.0,107.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4296,1c953672,2,707.0,1414.0,2.0,707.0,1414.0,2.0,707.0,1414.0,2.0,707.0,1414.0,2.0,707.0,1414.0,2.0,707.0,1414.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,9.0,0.8888888888888888,0.0,0.1111111111111111,9.0,2.0,5.0,0,0,22,7,6,7,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,22,22.0,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4336,1ce1ab16,1,13.0,13.0,1.0,13.0,13.0,1.0,13.0,13.0,1.0,13.0,13.0,1.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,10,10,10,3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4343,1ced74a7,5,106.0,529.0,5.0,106.0,529.0,5.0,106.0,529.0,5.0,106.0,529.0,5.0,106.0,529.0,5.0,106.0,529.0,1.0,33.0,33.0,0.0,0.0,0.0,2.0,0.0,11.0,13.0,0.15384615384615385,0.8461538461538461,0.0,13.0,4.0,6.0,0,0,41,8,2,8,41,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,41,41.0,41.0,41.0,41.0,41.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
4352,1cfa87f1,3,575.0,1725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,1.0,0.0,0.0,8.0,1.0,5.0,1,0,6,79,78,79,20,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4393,1d4a4b80,1,140.0,140.0,1.0,140.0,140.0,1.0,140.0,140.0,1.0,140.0,140.0,1.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0,0,7,14,14,14,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
