,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
8092,2de00598,0,5,2,2.0,1.0,1.0,1,2,2,5,0.0
8144,2e2c29aa,0,22,67,7.0,3.0,6.0,2,67,38,22,1.0
8146,2e2dbf54,0,18,3,3.0,2.0,3.0,2,3,3,18,1.0
8149,2e3529ce,0,52,13,21.0,11.0,17.0,3,13,2,52,1.0
8184,2e65d3b5,1,69,65,39.0,10.0,29.0,9,65,5,84,1.0
8195,2e6b90f4,0,6,47,2.0,2.0,2.0,2,47,12,6,1.0
8197,2e6c7f91,0,20,0,12.0,6.0,6.0,2,0,0,20,1.0
8216,2e8d8f21,0,55,13,32.0,17.0,25.0,4,13,0,55,1.0
8238,2ebf9af9,0,7,2,1.0,1.0,1.0,1,2,2,7,0.0
8257,2eeb5df4,0,235,15,75.0,36.0,56.0,9,15,6,235,0.0
8300,2f20b2b8,0,4,0,2.0,1.0,2.0,1,0,0,4,1.0
8315,2f371e22,0,5,4,2.0,1.0,1.0,1,4,4,5,0.0
8319,2f41a167,0,40,7,20.0,7.0,15.0,5,7,0,40,1.0
8325,2f46cdbe,2,13,11,5.0,3.0,4.0,10,9,8,204,1.0
8341,2f5940aa,4,47,10,3.0,1.0,3.0,22,8,1,253,1.0
8366,2f729bc3,2,364,94,170.0,43.0,87.0,68,17,0,845,1.0
8375,2f7e6471,0,6,1,1.0,1.0,1.0,1,1,1,6,0.0
8379,2f813368,0,7,16,2.0,2.0,2.0,1,16,16,7,0.0
8409,2fa955fd,1,30,92,5.0,3.0,4.0,19,88,9,120,1.0
8412,2faf73a3,0,615,55,236.0,64.0,109.0,43,55,0,615,0.0
8414,2fb01372,0,31,114,15.0,3.0,9.0,3,114,26,31,1.0
8420,2fb7c47b,0,57,101,10.0,6.0,7.0,4,101,14,57,0.0
8424,2fbbaa45,0,186,104,132.0,17.0,86.0,16,104,10,186,0.0
8445,2fd6b983,1,2,0,0.0,0.0,0.0,2,0,0,22,0.0
8451,2fe07773,0,23,8,7.0,5.0,7.0,6,8,1,23,1.0
8476,2ff5c798,0,34,14,9.0,4.0,8.0,5,14,6,34,1.0
8566,3094bbf6,0,197,7,116.0,6.0,35.0,12,7,0,197,1.0
8601,30e262b4,0,4,9,1.0,1.0,1.0,1,9,9,4,0.0
8611,30f7a89c,0,64,18,19.0,2.0,7.0,8,18,2,64,0.0
8716,317f4638,0,45,7,15.0,5.0,9.0,8,7,0,45,1.0
8719,318441a7,0,8,1,4.0,1.0,3.0,1,1,1,8,1.0
8722,3188646b,0,44,51,17.0,6.0,8.0,6,51,29,44,0.0
8742,31a1a876,0,8,4,2.0,1.0,1.0,1,4,4,8,0.0
8750,31ac36b3,0,4,14,1.0,1.0,1.0,1,14,14,4,0.0
8802,31fd117b,0,38,12,14.0,6.0,11.0,2,12,3,38,1.0
8830,321e456a,0,7,13,3.0,1.0,2.0,1,13,13,7,0.0
8873,32580874,0,190,1,165.0,9.0,50.0,2,1,0,190,0.0
8882,32664374,1,6,2,1.0,1.0,1.0,3,2,1,18,1.0
8887,326ae8bf,0,55,60,32.0,11.0,17.0,4,60,53,55,1.0
8895,327aecf8,0,117,12,30.0,6.0,20.0,6,12,3,117,0.0
8897,327b9a64,0,31,12,8.0,5.0,6.0,2,12,6,31,0.0
9003,330f5ee7,0,30,15,13.0,8.0,11.0,2,15,6,30,0.0
9055,3346c6e7,0,10,2,6.0,1.0,4.0,1,2,2,10,0.0
9091,3377a4d2,0,80,34,55.0,12.0,37.0,5,34,5,80,0.0
9094,337be2f9,0,4,13,1.0,1.0,1.0,1,13,13,4,0.0
9102,33852ec5,0,6,10,1.0,1.0,1.0,1,10,10,6,0.0
9110,338c1ebd,0,41,5,25.0,7.0,17.0,1,5,5,41,1.0
9114,3390c3e2,1,1,14,0.0,0.0,0.0,1,14,14,11,0.0
9122,3399c090,0,17,15,5.0,3.0,5.0,1,15,15,17,0.0
9132,33aec140,0,140,59,56.0,7.0,29.0,8,59,0,140,1.0
9171,33e21d54,0,108,38,59.0,13.0,39.0,11,38,8,108,0.0
9274,3487708d,1,16,32,3.0,1.0,3.0,7,22,2,67,1.0
9307,34c139ce,2,4,63,1.0,1.0,1.0,7,55,55,97,1.0
9324,34d81f7a,0,2,41,0.0,0.0,0.0,1,41,41,2,1.0
9334,34e84a87,0,107,28,48.0,10.0,22.0,9,28,6,107,1.0
9336,34e8d73c,0,5,39,1.0,1.0,1.0,1,39,39,5,0.0
9407,3555ffb9,0,67,77,23.0,7.0,11.0,8,77,31,67,1.0
9428,3578cd72,0,9,13,3.0,2.0,2.0,3,13,9,9,0.0
9452,359c4d2f,0,28,5,23.0,1.0,7.0,1,5,5,28,0.0
9520,3605b0b3,0,30,42,10.0,4.0,7.0,8,42,1,30,0.0
9548,36388bb5,0,101,13,65.0,16.0,37.0,7,13,1,101,0.0
9640,36a5e013,0,4,83,1.0,1.0,1.0,1,83,83,4,1.0
9645,36aaed05,0,23,17,9.0,3.0,5.0,3,17,7,23,0.0
9700,36ed4114,1,174,13,66.0,31.0,45.0,13,13,5,229,1.0
9709,36ef2e5f,0,250,14,204.0,12.0,59.0,8,14,1,250,1.0
9747,371e154e,0,11,3,2.0,1.0,1.0,1,3,3,11,1.0
9773,37464b87,3,6,78,0.0,0.0,0.0,9,22,21,54,1.0
9775,3746d260,0,29,34,7.0,4.0,7.0,5,34,22,29,1.0
9798,37658e3a,0,44,31,13.0,7.0,9.0,7,31,15,44,0.0
9802,376b9d26,0,12,17,10.0,2.0,9.0,1,17,17,12,1.0
9807,37708e0e,0,20,13,5.0,1.0,1.0,3,13,13,20,0.0
9826,378a8645,0,4,1,1.0,1.0,1.0,1,1,1,4,1.0
9842,379c6cfd,0,59,15,28.0,8.0,22.0,9,15,2,59,1.0
9859,37b22407,0,27,12,6.0,3.0,4.0,6,12,0,27,0.0
9869,37d58eb9,0,5,13,1.0,1.0,1.0,1,13,13,5,0.0
9872,37d89dbb,0,293,7,167.0,40.0,96.0,3,7,1,293,1.0
9882,37e98fe5,0,85,64,54.0,10.0,34.0,2,64,4,85,1.0
9962,387b60b0,0,12,8,6.0,2.0,5.0,1,8,8,12,1.0
10023,38c4dfda,4,59,89,1.0,1.0,1.0,24,87,5,77,1.0
10115,3942da6b,0,123,20,66.0,28.0,45.0,9,20,2,123,1.0
10184,39a82da4,0,7,6,2.0,1.0,1.0,1,6,6,7,0.0
10211,39cc7b17,0,78,32,52.0,9.0,31.0,4,32,24,78,1.0
10213,39cedca5,0,54,8,45.0,12.0,30.0,2,8,7,54,0.0
10237,39ef3ea0,0,30,4,24.0,4.0,16.0,2,4,0,30,0.0
10291,3a3f5934,0,4,13,1.0,1.0,1.0,1,13,13,4,0.0
10310,3a60a800,0,128,75,72.0,12.0,37.0,15,75,3,128,1.0
10317,3a6bfc4c,0,3,3,1.0,1.0,1.0,1,3,3,3,0.0
10325,3a74c972,0,22,78,6.0,4.0,4.0,5,78,14,22,0.0
10339,3a8aecb6,0,22,63,6.0,3.0,4.0,3,63,2,22,1.0
10340,3a8b823c,0,2,45,0.0,0.0,0.0,1,45,45,2,0.0
10394,3ae2240d,0,52,2,22.0,7.0,18.0,3,2,1,52,0.0
10405,3af60bb5,0,150,50,52.0,18.0,30.0,20,50,0,150,1.0
10415,3b01658a,0,96,129,12.0,5.0,9.0,8,129,58,96,1.0
10442,3b30b12c,0,59,28,19.0,8.0,10.0,4,28,3,59,1.0
10508,3b9dfd20,0,21,13,10.0,5.0,5.0,1,13,13,21,0.0
10516,3bad083f,0,42,56,17.0,5.0,9.0,11,56,13,42,0.0
10572,3bf6381d,0,34,18,15.0,6.0,10.0,2,18,14,34,1.0
10636,3c379667,0,12,10,4.0,2.0,4.0,1,10,10,12,0.0
10638,3c3b4ad8,0,76,7,44.0,15.0,26.0,6,7,1,76,1.0
10643,3c49ff98,0,9,37,2.0,2.0,2.0,1,37,37,9,1.0
10652,3c5d28e4,0,178,9,116.0,5.0,32.0,10,9,2,178,0.0
10715,3cc162f9,0,7,13,2.0,2.0,2.0,1,13,13,7,0.0
10728,3ccaec55,0,33,8,10.0,5.0,8.0,1,8,8,33,0.0
10738,3cd434ec,1,421,80,361.0,36.0,139.0,69,42,2,1480,1.0
10756,3ceb7bd8,0,96,27,24.0,4.0,10.0,5,27,0,96,1.0
10793,3d13c759,0,13,5,2.0,2.0,2.0,1,5,5,13,0.0
10804,3d20c133,0,4,13,1.0,1.0,1.0,1,13,13,4,0.0
10823,3d340ade,0,1,9,0.0,0.0,0.0,1,9,9,1,0.0
10832,3d45979a,0,72,20,37.0,10.0,17.0,9,20,1,72,0.0
10899,3da577c1,0,18,16,7.0,5.0,5.0,2,16,16,18,0.0
10938,3dd5965c,0,4,13,1.0,1.0,1.0,1,13,13,4,0.0
10946,3de50385,0,10,26,4.0,1.0,2.0,1,26,26,10,1.0
10957,3df824d4,0,7,13,3.0,1.0,2.0,1,13,13,7,0.0
10967,3e046e02,0,6,85,2.0,2.0,2.0,2,85,7,6,0.0
10968,3e04baec,0,14,13,5.0,1.0,4.0,1,13,13,14,0.0
11005,3e3a5a80,0,26,11,15.0,5.0,12.0,3,11,8,26,0.0
11041,3e7085c4,0,89,29,74.0,16.0,50.0,2,29,9,89,1.0
11056,3e89226c,0,30,67,8.0,7.0,8.0,5,67,3,30,1.0
11079,3eabb7ef,0,15,8,7.0,2.0,3.0,1,8,8,15,0.0
11111,3ed8cec9,0,7,8,3.0,1.0,2.0,1,8,8,7,0.0
11118,3ee65faf,0,7,4,2.0,1.0,1.0,1,4,4,7,0.0
11150,3f0eeb05,0,167,33,120.0,34.0,89.0,8,33,5,167,0.0
11160,3f15358e,0,50,114,30.0,6.0,17.0,6,114,89,50,1.0
11162,3f16c0aa,0,17,9,9.0,2.0,6.0,1,9,9,17,0.0
11178,3f36f53e,2,26,124,2.0,2.0,2.0,7,6,1,85,1.0
11181,3f41b801,0,21,90,7.0,2.0,4.0,5,90,57,21,1.0
11222,3f722ffd,0,72,3,23.0,4.0,15.0,7,3,0,72,1.0
11226,3f778dc5,0,42,7,28.0,2.0,12.0,2,7,6,42,1.0
11227,3f77e3c0,0,4,2,1.0,1.0,1.0,1,2,2,4,0.0
11238,3f7e5816,0,35,18,27.0,3.0,20.0,3,18,9,35,0.0
11272,3fb260e3,0,71,34,20.0,12.0,17.0,7,34,0,71,1.0
11274,3fb60210,0,35,12,22.0,8.0,17.0,2,12,0,35,1.0
11279,3fb85c32,1,48,16,16.0,8.0,13.0,5,16,13,60,0.0
11281,3fb91419,0,10,6,6.0,1.0,3.0,1,6,6,10,0.0
11338,400f86e9,0,53,2,25.0,8.0,14.0,3,2,0,53,0.0
11410,407d0bdd,0,14,3,5.0,1.0,2.0,2,3,0,14,0.0
11441,40a68b39,0,226,42,139.0,24.0,63.0,13,42,3,226,1.0
11444,40ac6fcb,0,19,139,11.0,2.0,8.0,2,139,7,19,0.0
11495,40e88f12,0,2,13,0.0,0.0,0.0,1,13,13,2,0.0
11498,40eb43ad,0,20,3,15.0,2.0,8.0,1,3,2,20,0.0
11513,40fe616c,1,65,137,8.0,4.0,7.0,12,126,21,106,1.0
11538,41157a0d,0,8,0,2.0,1.0,1.0,1,0,0,8,0.0
11539,41169133,0,88,13,60.0,12.0,39.0,7,13,1,88,1.0
11559,412c10b7,0,299,133,137.0,33.0,75.0,36,133,0,299,1.0
11560,412c80d5,0,47,7,22.0,4.0,12.0,2,7,0,47,1.0
11578,41468a4c,0,9,13,2.0,1.0,1.0,1,13,13,9,0.0
11585,4154ffae,0,38,23,14.0,7.0,14.0,2,23,6,38,1.0
11594,415c0088,0,5,0,2.0,1.0,1.0,1,0,0,5,0.0
11598,4167535c,0,40,63,7.0,2.0,6.0,13,63,19,40,1.0
11675,41cbe4f3,0,40,57,15.0,8.0,10.0,2,57,57,40,1.0
11699,41f0717f,0,20,23,11.0,3.0,10.0,2,23,23,20,1.0
11708,4202bf6d,0,24,11,20.0,4.0,19.0,1,11,11,24,1.0
11709,42045acb,0,15,27,2.0,1.0,1.0,3,27,5,15,1.0
11787,4276d5de,0,428,88,129.0,17.0,46.0,55,88,0,428,1.0
11799,4283f064,5,34,1,30.0,14.0,25.0,5,0,0,315,1.0
11820,42934000,0,23,31,12.0,2.0,6.0,2,31,20,23,1.0
11887,42f84f17,0,8,24,3.0,1.0,3.0,2,24,7,8,0.0
11924,4326457c,0,35,3,13.0,2.0,6.0,2,3,3,35,0.0
11935,433d799f,0,66,29,36.0,7.0,21.0,11,29,0,66,1.0
11966,43705e5e,0,23,1,15.0,6.0,12.0,1,1,1,23,0.0
11979,43790d8f,0,76,13,62.0,21.0,47.0,2,13,2,76,1.0
12021,43a9e70f,1,426,72,276.0,36.0,108.0,65,68,0,548,1.0
12034,43b77600,0,2,8,0.0,0.0,0.0,1,8,8,2,1.0
12056,43eea45b,0,46,3,37.0,7.0,29.0,1,3,3,46,0.0
12058,43f1b5ae,0,7,17,3.0,1.0,2.0,2,17,13,7,0.0
12115,443d063e,0,20,11,6.0,1.0,3.0,1,11,11,20,0.0
12129,4454081f,0,28,15,18.0,4.0,10.0,2,15,15,28,0.0
12136,445b333c,3,12,4,1.0,1.0,1.0,8,3,0,39,1.0
12139,4463dc28,0,111,84,40.0,6.0,26.0,4,84,3,111,1.0
12141,4467298f,0,1,0,0.0,0.0,0.0,1,0,0,1,0.0
12146,44699b60,3,140,148,97.0,12.0,36.0,43,13,0,510,1.0
12184,44a0af1c,1,349,55,95.0,20.0,64.0,78,55,7,350,1.0
12241,44e233c3,0,306,30,252.0,39.0,145.0,21,30,3,306,0.0
12246,44ef34f4,0,12,28,2.0,1.0,1.0,1,28,28,12,1.0
12249,44f97041,0,10,6,2.0,2.0,2.0,2,6,6,10,0.0
12256,44fd5bd1,0,44,62,30.0,11.0,16.0,2,62,55,44,1.0
12266,4504bef1,3,270,105,155.0,16.0,77.0,66,22,1,611,1.0
12301,45302f43,0,88,16,44.0,10.0,24.0,3,16,1,88,0.0
12311,453c35e0,2,64,32,32.0,3.0,18.0,16,27,0,174,0.0
12316,45422088,0,103,36,63.0,7.0,22.0,1,36,36,103,1.0
12336,455e23a9,0,16,131,5.0,5.0,5.0,2,131,37,16,1.0
12352,456ead1b,0,138,41,100.0,20.0,66.0,10,41,2,138,1.0
12378,45a1fa0d,0,19,11,7.0,4.0,5.0,3,11,10,19,1.0
12379,45a66d74,0,336,107,165.0,25.0,83.0,22,107,0,336,1.0
12386,45b17094,0,30,8,24.0,4.0,17.0,1,8,8,30,0.0
12404,45c724f8,0,3,19,1.0,1.0,1.0,1,19,19,3,0.0
12427,45de809e,0,8,14,1.0,1.0,1.0,1,14,14,8,0.0
12438,45f69921,0,42,6,22.0,2.0,7.0,6,6,3,42,0.0
12479,4636ee0e,0,5,3,1.0,1.0,1.0,1,3,3,6,1.0
12496,4646796c,0,8,57,2.0,1.0,2.0,2,57,35,8,1.0
12524,466be0c6,0,123,69,103.0,10.0,51.0,9,69,4,123,0.0
12531,4679e993,0,65,64,30.0,12.0,18.0,4,64,1,65,0.0
12534,467dff6b,0,94,52,61.0,14.0,37.0,13,52,2,94,1.0
12538,4683b19f,1,169,21,114.0,22.0,61.0,10,10,4,225,0.0
12546,46933bfa,0,19,2,8.0,3.0,6.0,1,2,2,19,0.0
12567,46af4cd0,1,97,39,7.0,7.0,7.0,67,37,16,153,1.0
12573,46bd4d48,0,60,4,33.0,1.0,14.0,1,4,4,60,0.0
12576,46c17010,0,60,9,47.0,6.0,30.0,3,9,6,60,1.0
12586,46cd15a7,0,22,5,9.0,2.0,7.0,1,5,5,22,0.0
12591,46d4d96c,0,4,10,0.0,0.0,0.0,1,10,10,4,1.0
12654,4759b4df,0,43,13,16.0,4.0,12.0,3,13,6,43,1.0
12719,47b7b62a,0,68,32,55.0,11.0,38.0,11,32,13,68,0.0
12727,47c33c75,0,151,55,48.0,10.0,27.0,19,55,0,151,1.0
12736,47dd797a,0,117,41,99.0,6.0,37.0,9,41,1,117,0.0
12738,47e17caa,0,60,5,52.0,24.0,35.0,4,5,3,60,0.0
12765,48059f7b,0,8,3,4.0,1.0,3.0,1,3,3,8,0.0
12766,48071045,0,384,26,157.0,29.0,69.0,18,26,0,384,1.0
12799,48365039,0,47,6,36.0,7.0,21.0,1,6,6,47,0.0
12807,48488f7d,0,136,12,71.0,7.0,37.0,15,12,0,136,1.0
12842,48716370,11,15,15,12.0,2.0,12.0,17,1,1,184,1.0
12863,48971f23,0,95,135,21.0,8.0,14.0,12,135,29,95,1.0
12873,48a33392,0,7,15,4.0,3.0,3.0,1,15,15,7,0.0
12951,49179d29,0,6,0,2.0,1.0,2.0,2,0,0,6,1.0
12976,493f068a,0,408,140,141.0,45.0,91.0,35,140,31,408,1.0
12982,4943de31,0,32,4,23.0,7.0,17.0,1,4,4,32,0.0
13015,496ef3e5,4,21,78,6.0,4.0,6.0,4,56,7,35,1.0
13017,49735701,0,9,2,5.0,1.0,2.0,1,2,2,9,0.0
13045,499728f9,0,7,2,2.0,1.0,1.0,1,2,2,7,0.0
13051,499d7347,0,3,19,1.0,1.0,1.0,1,19,19,3,0.0
13140,49fffa02,0,16,40,6.0,1.0,4.0,2,40,2,16,0.0
13158,4a20258e,0,34,1,28.0,8.0,21.0,1,1,1,34,0.0
13161,4a26e8ad,0,83,53,52.0,7.0,33.0,7,53,0,83,0.0
13174,4a3c083d,0,102,114,25.0,9.0,15.0,23,114,1,102,0.0
13186,4a473eb7,0,89,65,50.0,5.0,24.0,9,65,1,89,1.0
13188,4a4ad35b,0,20,14,15.0,2.0,9.0,1,14,14,20,0.0
13202,4a635360,3,2,77,0.0,0.0,0.0,23,1,1,386,1.0
13210,4a7119be,0,250,109,118.0,22.0,55.0,34,109,16,250,0.0
13218,4a776ce2,0,12,7,7.0,2.0,6.0,1,7,7,12,0.0
13220,4a78636f,0,26,72,10.0,2.0,6.0,4,72,9,26,1.0
13231,4a915ec2,0,158,8,108.0,11.0,45.0,5,8,3,158,1.0
13242,4aa34a51,0,23,10,6.0,4.0,5.0,3,10,5,23,0.0
13247,4aa4ee33,0,10,12,4.0,1.0,2.0,1,12,12,10,0.0
13268,4ace8a64,0,69,128,20.0,5.0,13.0,11,128,0,69,0.0
13285,4ae4b9e9,0,14,7,9.0,1.0,6.0,1,7,7,14,0.0
13294,4aeb5dda,0,98,146,38.0,6.0,29.0,13,146,28,98,1.0
13314,4b0d4a9b,0,133,86,70.0,24.0,54.0,17,86,58,133,1.0
13426,4b974bfa,0,19,2,4.0,4.0,4.0,3,2,0,19,0.0
13434,4ba009a6,0,33,15,30.0,3.0,14.0,1,15,15,33,0.0
13438,4ba571a1,0,12,30,4.0,3.0,4.0,4,30,2,12,1.0
13499,4bf8e237,0,57,2,36.0,8.0,24.0,3,2,1,57,1.0
13506,4c002b61,0,17,46,6.0,4.0,6.0,2,46,46,17,1.0
13516,4c05e743,1,48,8,10.0,5.0,8.0,24,3,1,166,0.0
13525,4c196c48,0,30,37,16.0,3.0,7.0,1,37,37,30,1.0
13574,4c5640f7,1,7,16,3.0,1.0,2.0,1,16,16,26,0.0
13629,4cad42fd,0,14,13,1.0,1.0,1.0,2,13,13,14,1.0
13660,4cdf80c5,0,7,2,2.0,1.0,1.0,1,2,2,7,0.0
13677,4cf80018,0,27,137,6.0,3.0,6.0,6,137,4,27,1.0
13689,4d0cd132,0,19,97,8.0,3.0,7.0,3,97,9,19,0.0
13694,4d149696,0,277,65,235.0,10.0,101.0,10,65,12,277,1.0
13715,4d2f1297,0,24,0,18.0,7.0,15.0,2,0,0,24,1.0
13717,4d344a9a,0,11,15,5.0,2.0,4.0,2,15,10,11,0.0
13725,4d3e3e4a,0,61,27,14.0,4.0,11.0,4,27,9,61,0.0
13748,4d6695e3,0,28,119,12.0,4.0,11.0,4,119,13,28,1.0
13827,4dd513b3,2,204,90,61.0,17.0,36.0,34,84,1,378,1.0
13842,4de2479a,2,9,91,4.0,3.0,4.0,10,2,2,122,1.0
13895,4e2a60d8,2,3,2,0.0,0.0,0.0,10,0,0,136,0.0
13903,4e39bfcf,0,45,18,17.0,5.0,14.0,3,18,5,45,0.0
13929,4e560208,7,22,142,13.0,5.0,11.0,21,16,1,185,1.0
13946,4e64394b,0,70,12,54.0,4.0,15.0,3,12,3,70,1.0
13971,4e8103d8,0,66,13,36.0,6.0,13.0,5,13,9,66,1.0
13981,4e92e3f5,0,3,32,0.0,0.0,0.0,1,32,32,3,0.0
13983,4e949fde,0,18,34,7.0,3.0,4.0,2,34,3,18,1.0
13992,4ea0ac92,0,8,13,2.0,2.0,2.0,1,13,13,8,0.0
14001,4ead4504,0,95,0,40.0,8.0,21.0,2,0,0,95,1.0
14015,4ebb61f8,0,57,78,24.0,4.0,20.0,12,78,55,57,1.0
14016,4ebc0045,0,41,18,21.0,4.0,8.0,5,18,9,41,0.0
14043,4ee533ee,0,89,34,16.0,11.0,13.0,6,34,19,89,1.0
14047,4eec4b16,0,15,10,9.0,5.0,6.0,2,10,9,15,1.0
14080,4f2f543f,0,42,0,17.0,9.0,13.0,1,0,0,42,0.0
14172,4fcccd67,0,27,14,16.0,11.0,14.0,1,14,14,27,0.0
14195,4fe68a28,1,24,0,4.0,2.0,4.0,2,0,0,25,1.0
14236,501426b1,0,27,110,14.0,2.0,10.0,2,110,3,27,0.0
14261,502bc778,0,33,9,15.0,3.0,10.0,1,9,9,33,0.0
14269,50367875,0,53,10,41.0,15.0,24.0,2,10,9,53,1.0
14283,504a0c2f,0,167,34,81.0,21.0,58.0,24,34,1,167,0.0
14285,504c929c,0,10,10,3.0,3.0,3.0,1,10,10,10,0.0
14428,505a0310,0,28,5,21.0,8.0,18.0,1,5,5,28,1.0
14429,505b39f3,0,6,0,3.0,1.0,1.0,2,0,0,7,1.0
14439,5068e656,1,14,16,1.0,1.0,1.0,6,16,13,27,0.0
14466,508feae1,0,4,0,1.0,1.0,1.0,1,0,0,4,0.0
14507,50b85d09,0,3,8,0.0,0.0,0.0,1,8,8,3,0.0
14508,50b9e94c,0,7,1,4.0,1.0,3.0,1,1,1,7,1.0
14559,51085938,0,11,15,4.0,1.0,3.0,2,15,14,11,1.0
14564,510bdbaa,0,29,10,6.0,3.0,4.0,3,10,8,29,0.0
14612,51658783,0,30,12,17.0,3.0,10.0,1,12,12,30,0.0
14621,51758cb6,0,83,16,47.0,16.0,33.0,3,16,13,83,0.0
14652,51995ce1,0,105,22,61.0,7.0,40.0,8,22,1,105,0.0
14654,519da79d,0,38,8,27.0,6.0,22.0,3,8,3,38,1.0
14709,51f81030,0,19,127,5.0,2.0,2.0,5,127,111,19,1.0
14713,51fde0cb,0,126,78,83.0,24.0,42.0,9,78,11,126,1.0
14832,52ac5248,0,118,103,71.0,6.0,36.0,9,103,4,118,1.0
14854,52c67e00,1,123,15,91.0,23.0,49.0,15,10,1,253,1.0
14910,530ab705,0,6,12,2.0,1.0,2.0,1,12,12,6,1.0
14968,5361381b,0,4,3,1.0,1.0,1.0,1,3,3,4,0.0
14974,536fd101,0,3,14,1.0,1.0,1.0,1,14,14,3,1.0
14985,537a90ff,1,51,17,2.0,1.0,1.0,16,17,10,58,0.0
14999,538bd8d1,0,4,6,1.0,1.0,1.0,1,6,6,4,0.0
15000,538bdbc8,0,62,18,40.0,4.0,13.0,7,18,0,62,0.0
15001,538c3e87,0,57,64,46.0,10.0,20.0,4,64,16,57,1.0
15017,53a409c8,1,18,63,1.0,1.0,1.0,6,63,52,28,1.0
15042,53c46ef8,0,52,13,19.0,6.0,14.0,6,13,7,52,0.0
15054,53cc92da,1,4,3,1.0,1.0,1.0,3,2,1,29,0.0
15110,543876ce,0,20,8,7.0,1.0,3.0,2,8,7,20,0.0
15123,544472be,0,120,14,71.0,12.0,31.0,6,14,6,120,1.0
15132,544aaf42,3,15,41,0.0,0.0,0.0,17,1,0,251,1.0
15152,54633dbb,0,7,1,2.0,2.0,2.0,2,1,1,7,1.0
15157,5467b6ab,0,5,7,1.0,1.0,1.0,1,7,7,5,0.0
15198,54a2de05,0,50,138,14.0,6.0,11.0,10,138,94,50,1.0
15200,54a9e8c5,0,8,31,3.0,2.0,3.0,2,31,0,8,0.0
15209,54b5f1cb,0,34,27,11.0,2.0,8.0,7,27,0,34,0.0
15211,54bb7539,0,60,2,47.0,13.0,35.0,4,2,1,60,1.0
15237,54e997f5,0,92,22,22.0,12.0,15.0,7,22,1,92,0.0
15246,54fb59e3,0,31,26,11.0,4.0,6.0,6,26,5,31,1.0
15279,55211b81,0,7,12,3.0,1.0,2.0,2,12,11,7,0.0
15350,55827b4b,0,111,103,80.0,14.0,30.0,6,103,0,111,1.0
15378,55a7179e,0,3,41,1.0,1.0,1.0,1,41,41,3,1.0
15448,56011e68,1,43,76,9.0,4.0,7.0,13,75,27,64,1.0
15484,56286924,0,3,1,1.0,1.0,1.0,1,1,1,3,1.0
15485,562929c8,0,551,31,316.0,58.0,166.0,20,31,0,551,1.0
15503,564c3763,0,9,1,3.0,1.0,3.0,2,1,1,9,1.0
15504,5650a375,0,25,2,5.0,2.0,3.0,3,2,0,25,0.0
15528,56789d06,0,9,9,2.0,2.0,2.0,2,9,1,9,0.0
15627,56fdec10,0,4,6,1.0,1.0,1.0,1,6,6,4,0.0
15653,571e03c6,0,22,15,10.0,3.0,8.0,2,15,15,22,0.0
15692,5768416f,0,12,7,3.0,1.0,2.0,1,7,7,12,1.0
15704,5771f845,0,10,3,3.0,2.0,3.0,1,3,3,10,0.0
15731,578cefef,0,137,11,100.0,8.0,46.0,3,11,1,137,1.0
15736,5792deb4,0,52,0,43.0,3.0,19.0,2,0,0,52,1.0
15806,57ed2cc9,0,160,20,59.0,8.0,32.0,17,20,0,160,1.0
15823,580d91b9,0,95,10,82.0,3.0,37.0,1,10,10,95,1.0
15827,580f209e,0,193,56,67.0,13.0,33.0,20,56,9,193,0.0
15832,581518b6,0,8,10,3.0,3.0,3.0,1,10,10,8,1.0
15836,5821c7c2,0,11,3,1.0,1.0,1.0,1,3,3,11,0.0
15853,583473ab,0,20,0,4.0,1.0,3.0,2,0,0,20,1.0
15864,5847cac8,0,3,74,0.0,0.0,0.0,1,74,74,3,1.0
15868,584dcc02,0,9,7,4.0,1.0,3.0,1,7,7,9,0.0
15884,586b7a1c,0,14,9,5.0,1.0,2.0,2,9,9,14,0.0
15895,587ce7f9,1,61,3,6.0,3.0,6.0,14,2,0,109,1.0
15910,58a6953f,0,4,10,1.0,1.0,1.0,1,10,10,4,0.0
15955,58e26c5d,0,168,111,113.0,8.0,64.0,17,111,5,168,1.0
15973,58f21eaf,0,16,0,3.0,3.0,3.0,1,0,0,16,1.0
16033,594938b1,4,0,40,0.0,0.0,0.0,4,12,12,133,0.0
16067,5988298f,0,28,45,9.0,4.0,6.0,5,45,5,28,1.0
16088,599e60ec,0,3,9,0.0,0.0,0.0,1,9,9,3,1.0
16113,59c2bed3,1,69,86,47.0,11.0,35.0,4,0,0,86,1.0
16114,59c318bd,0,279,0,95.0,30.0,56.0,4,0,0,279,1.0
16123,59cd94f5,0,51,7,36.0,3.0,20.0,4,7,4,51,0.0
16130,59d92775,0,65,51,32.0,10.0,20.0,8,51,9,65,0.0
16187,5a31be88,0,30,10,21.0,3.0,18.0,1,10,10,30,0.0
16265,5a96e3dd,2,79,106,26.0,10.0,18.0,26,45,5,260,0.0
16282,5ac2776f,0,173,12,133.0,20.0,86.0,7,12,0,173,0.0
16294,5adbfa7a,0,8,1,4.0,1.0,3.0,1,1,1,8,0.0
16327,5b0f4b0a,0,20,49,12.0,3.0,11.0,2,49,6,20,1.0
