,person,#Camino,#pasos_antes_comprar,primera_actividad,modelos_vistos,modelos_distintos,sku_distintos,cantidad_sesiones,promedio_sesiones_sec,#act_ult30dias,primera_actividad_ultimo_paso,ultima_actividad,# Actividades,label
7112,284169d6,0,33,44,27.0,14.0,23.0,2,576.0,0.0,44,40,33,0.0
7142,287f650e,0,43,1,13.0,7.0,10.0,1,856.0,43.0,1,1,43,0.0
7171,28ab7f08,0,21,58,14.0,2.0,11.0,3,193.0,15.0,58,11,21,0.0
7186,28c25c82,0,179,114,79.0,21.0,40.0,28,189.0,83.0,114,3,179,0.0
7188,28c452a4,0,16,20,4.0,2.0,4.0,4,198.0,16.0,20,13,16,0.0
7193,28c9ec04,0,11,10,2.0,1.0,1.0,2,24.0,11.0,10,3,11,1.0
7196,28ceac01,0,306,127,232.0,11.0,84.0,16,582.0,35.0,127,0,306,1.0
7198,28d1059e,0,45,9,36.0,8.0,25.0,1,3843.0000000000005,45.0,9,9,45,0.0
7259,29114279,0,87,33,24.0,5.0,14.0,14,340.0,83.0,33,0,87,0.0
7313,29622269,0,6,2,1.0,1.0,1.0,1,93.0,6.0,2,2,6,0.0
7324,296f3a55,0,10,8,5.0,2.0,5.0,2,62.00000000000001,10.0,8,8,10,0.0
7330,297312f8,3,82,56,12.0,7.0,11.0,8,1167.0,10.0,54,0,151,0.0
7344,298272c5,0,8,8,2.0,1.0,1.0,1,169.0,8.0,8,8,8,1.0
7353,298bd74f,0,3,2,1.0,1.0,1.0,1,1.0,3.0,2,2,3,0.0
7427,2a072244,0,12,2,3.0,1.0,2.0,2,108.0,12.0,2,2,12,0.0
7428,2a072b06,0,16,109,6.0,1.0,5.0,2,144.0,11.0,109,2,16,0.0
7452,2a295879,0,34,78,15.0,6.0,12.0,6,223.0,6.0,78,7,34,0.0
7488,2a5a9e07,0,6,0,3.0,1.0,3.0,1,85.0,6.0,0,0,6,0.0
7530,2a9e0fb0,1,92,82,66.0,21.0,43.0,20,416.0,223.0,13,6,227,0.0
7538,2aa74a65,0,32,1,21.0,3.0,15.0,2,216.0,32.0,1,0,32,0.0
7545,2ab41c62,0,6,2,1.0,1.0,1.0,2,5.0,6.0,2,0,6,1.0
7548,2aba8179,0,4,8,1.0,1.0,1.0,1,22.0,4.0,8,8,4,0.0
7607,2b0d7dc5,0,207,63,168.0,36.0,108.0,10,591.0,141.0,63,0,207,1.0
7611,2b11fb75,0,112,19,109.0,16.0,68.0,15,716.0,112.0,19,1,112,1.0
7630,2b31ea60,0,24,6,12.0,1.0,3.0,6,387.0,24.0,6,1,24,1.0
7639,2b41a2f6,0,41,104,15.0,9.0,12.0,5,94.0,3.0,104,31,41,0.0
7645,2b466fe9,0,99,19,58.0,7.0,22.0,5,1175.0,99.0,19,0,99,1.0
7680,2b7ea8eb,0,24,35,5.0,2.0,2.0,4,124.00000000000001,16.0,35,8,24,1.0
7685,2b81e8f3,1,39,56,22.0,2.0,7.0,9,746.0,154.0,17,7,171,1.0
7690,2b8717e2,0,16,9,4.0,2.0,2.0,2,298.0,16.0,9,4,16,0.0
7705,2b9def4b,0,75,59,11.0,9.0,9.0,16,329.0,34.0,59,5,75,1.0
7726,2bb8a9df,0,303,42,54.0,11.0,22.0,60,166.0,273.0,42,0,303,1.0
7787,2c050c68,1,118,48,10.0,3.0,7.0,36,299.0,10.0,45,7,208,1.0
7809,2c320c9d,0,30,7,23.0,3.0,15.0,1,244.00000000000003,30.0,7,7,30,0.0
7815,2c39a74e,0,3,10,0.0,0.0,0.0,1,0.0,3.0,10,10,3,0.0
7868,2c888b85,2,39,27,9.0,4.0,6.0,8,284.0,51.0,27,7,51,0.0
7907,2cbe51bb,0,15,137,11.0,2.0,9.0,1,264.0,0.0,137,137,15,0.0
7915,2cc41526,0,59,2,38.0,7.0,12.0,2,1133.0,59.0,2,1,59,1.0
7922,2cce0cc0,0,18,12,7.0,1.0,5.0,3,95.0,18.0,12,0,18,1.0
7926,2cd4e2f4,0,12,38,5.0,2.0,3.0,3,242.00000000000003,5.0,38,26,12,1.0
7962,2d05040f,1,17,3,14.0,2.0,5.0,1,1473.0,72.0,3,3,72,0.0
7974,2d1cc146,0,4,2,1.0,1.0,1.0,1,9.0,4.0,2,2,4,0.0
7980,2d255736,1,4,1,2.0,1.0,2.0,6,1593.0,136.0,1,0,136,1.0
8002,2d554f7a,0,5,38,0.0,0.0,0.0,1,80.0,0.0,38,38,5,1.0
8017,2d6b0831,0,14,50,7.0,1.0,5.0,1,180.0,0.0,50,50,14,1.0
8033,2d7c04e5,0,83,14,50.0,5.0,37.0,4,854.0,84.0,14,13,84,0.0
8034,2d7e4962,0,3,36,1.0,1.0,1.0,1,40.0,0.0,36,36,3,1.0
8053,2d99ad11,4,1,120,0.0,0.0,0.0,91,274.0,97.0,0,0,465,1.0
8074,2dc3d9fe,0,25,28,13.0,3.0,8.0,4,54.0,25.0,28,16,25,1.0
8092,2de00598,0,5,2,2.0,1.0,1.0,1,155.0,5.0,2,2,5,0.0
8136,2e23d819,0,7,8,2.0,2.0,2.0,2,92.0,7.0,8,6,7,0.0
8144,2e2c29aa,0,22,67,7.0,3.0,6.0,3,96.0,0.0,67,38,22,1.0
8146,2e2dbf54,0,18,3,3.0,2.0,3.0,2,1221.0,18.0,3,3,18,1.0
8149,2e3529ce,0,52,13,21.0,11.0,17.0,3,1839.0000000000002,52.0,13,2,52,1.0
8184,2e65d3b5,1,69,65,39.0,10.0,29.0,9,467.00000000000006,27.0,65,5,84,1.0
8195,2e6b90f4,0,6,47,2.0,2.0,2.0,2,2.0,3.0,47,12,6,1.0
8197,2e6c7f91,0,20,0,12.0,6.0,6.0,2,220.0,20.0,0,0,20,1.0
8216,2e8d8f21,0,55,13,32.0,17.0,25.0,4,1190.0,55.0,13,0,55,1.0
8281,2f0667d3,0,2,8,0.0,0.0,0.0,1,1.0,2.0,8,8,2,0.0
8300,2f20b2b8,0,4,0,2.0,1.0,2.0,1,139.0,4.0,0,0,4,1.0
8319,2f41a167,0,40,7,20.0,7.0,15.0,5,425.0,40.0,7,0,40,1.0
8325,2f46cdbe,2,13,11,5.0,3.0,4.0,11,675.0,204.0,9,8,204,1.0
8341,2f5940aa,4,47,10,3.0,1.0,3.0,25,604.0,253.0,8,1,253,1.0
8366,2f729bc3,2,364,94,170.0,43.0,87.0,78,446.0,416.0,17,0,845,1.0
8409,2fa955fd,1,30,92,5.0,3.0,4.0,22,369.0,7.0,88,9,120,1.0
8414,2fb01372,0,31,114,15.0,3.0,9.0,3,345.0,12.0,114,26,31,1.0
8451,2fe07773,0,23,8,7.0,5.0,7.0,6,63.00000000000001,23.0,8,1,23,1.0
8452,2fe16d45,0,17,17,5.0,1.0,2.0,3,37.0,17.0,17,2,17,0.0
8457,2fe955e3,0,24,10,5.0,3.0,4.0,4,48.0,24.0,10,7,24,0.0
8476,2ff5c798,0,34,14,9.0,4.0,8.0,5,975.0000000000001,34.0,14,6,34,1.0
8502,30145212,0,4,2,1.0,1.0,1.0,1,23.0,4.0,2,2,4,0.0
8526,303cbe13,0,398,62,303.0,34.0,123.0,27,719.0,300.0,62,0,398,0.0
8544,30502dca,0,7,11,4.0,2.0,3.0,1,49.0,7.0,11,11,7,0.0
8566,3094bbf6,0,197,7,116.0,6.0,35.0,17,774.0,197.0,7,0,197,1.0
8600,30e06110,0,15,15,7.0,1.0,3.0,2,1062.0,15.0,15,14,15,0.0
8601,30e262b4,0,4,9,1.0,1.0,1.0,1,17.0,4.0,9,9,4,0.0
8666,3149b335,0,78,35,42.0,13.0,32.0,4,1400.0,71.0,35,6,78,0.0
8671,314c0400,0,5,15,0.0,0.0,0.0,1,1883.0000000000002,5.0,15,15,5,0.0
8676,3152eea7,0,1118,77,714.0,90.0,351.0,71,678.0,199.0,77,5,1118,0.0
8716,317f4638,0,45,7,15.0,5.0,9.0,8,158.0,45.0,7,0,45,1.0
8717,318330cc,0,7,16,1.0,1.0,1.0,1,656.0,7.0,16,16,7,0.0
8719,318441a7,0,8,1,4.0,1.0,3.0,1,130.0,8.0,1,1,8,1.0
8802,31fd117b,0,38,12,14.0,6.0,11.0,2,1518.0,38.0,12,3,38,1.0
8807,32013e2e,0,5,89,1.0,1.0,1.0,2,11.0,0.0,89,53,5,0.0
8829,321cd08e,0,43,16,10.0,5.0,7.0,2,634.0,43.0,16,16,43,0.0
8838,322a6e62,0,3,14,0.0,0.0,0.0,1,3.0,3.0,14,14,3,0.0
8848,3238152d,0,14,23,5.0,2.0,4.0,3,15.000000000000002,14.0,23,1,14,0.0
8882,32664374,1,6,2,1.0,1.0,1.0,3,1174.0,18.0,2,1,18,1.0
8887,326ae8bf,0,55,60,32.0,11.0,17.0,5,638.0,0.0,60,53,55,1.0
8982,32e21de5,0,87,21,49.0,5.0,22.0,3,1120.0,87.0,21,3,87,0.0
9021,3325e232,1,16,11,4.0,2.0,3.0,11,685.0,95.0,0,0,95,0.0
9032,332e2a3b,0,62,30,30.0,3.0,15.0,2,2022.0000000000002,62.0,30,2,62,0.0
9053,3342d450,0,184,35,113.0,13.0,60.0,13,982.0000000000001,176.0,35,6,184,0.0
9094,337be2f9,0,4,13,1.0,1.0,1.0,1,25.0,4.0,13,13,4,0.0
9103,33889817,0,228,23,116.0,36.0,75.0,21,454.0,228.0,23,0,228,0.0
9110,338c1ebd,0,41,5,25.0,7.0,17.0,1,1816.0,41.0,5,5,41,1.0
9132,33aec140,0,140,59,56.0,7.0,29.0,10,457.00000000000006,114.0,59,0,140,1.0
9150,33c11b07,0,18,139,8.0,2.0,4.0,2,50.0,9.0,139,15,18,0.0
9172,33e3cc67,0,6,57,2.0,1.0,2.0,2,2.0,0.0,57,38,6,0.0
9201,341e977d,0,410,37,176.0,20.0,39.0,50,524.0,252.0,37,0,410,0.0
9234,345479d3,0,15,41,9.0,2.0,6.0,2,12.0,11.0,41,15,15,0.0
9265,34827cfe,0,21,0,13.0,2.0,10.0,1,642.0,21.0,0,0,21,0.0
9274,3487708d,1,16,32,3.0,1.0,3.0,7,629.0,53.0,22,2,67,1.0
9280,3493d0af,0,86,2,80.0,2.0,23.0,3,387.0,86.0,2,1,86,0.0
9283,349d0750,0,6,0,1.0,1.0,1.0,1,75.0,6.0,0,0,6,0.0
9291,34b1918d,0,4,124,0.0,0.0,0.0,1,542.0,0.0,124,124,4,0.0
9300,34bedf78,0,4,2,1.0,1.0,1.0,1,2.0,4.0,2,2,4,0.0
9307,34c139ce,2,4,63,1.0,1.0,1.0,8,527.0,0.0,55,55,97,1.0
9320,34d26d9b,0,9,1,5.0,1.0,5.0,1,385.0,9.0,1,0,9,0.0
9324,34d81f7a,0,2,41,0.0,0.0,0.0,1,0.0,0.0,41,41,2,1.0
9334,34e84a87,0,107,28,48.0,10.0,22.0,9,441.0,107.0,28,6,107,1.0
9398,354bb9bb,0,9,16,6.0,1.0,5.0,1,271.0,9.0,16,16,9,0.0
9407,3555ffb9,0,67,77,23.0,7.0,11.0,8,552.0,10.0,77,31,67,1.0
9422,35705fee,0,4,6,1.0,1.0,1.0,1,5.0,4.0,6,6,4,0.0
9446,3595fc1a,0,42,19,28.0,6.0,9.0,4,116.00000000000001,42.0,19,0,42,0.0
9465,35b6e730,0,17,1,8.0,2.0,4.0,1,329.0,17.0,1,1,17,0.0
9512,35f84841,0,29,8,25.0,2.0,14.0,1,296.0,29.0,8,8,29,0.0
9572,3650f5af,0,2,11,0.0,0.0,0.0,1,4.0,2.0,11,11,2,0.0
9579,365bed36,3,3,65,0.0,0.0,0.0,7,488.00000000000006,11.0,5,5,61,0.0
9607,367d06d1,0,17,11,9.0,3.0,5.0,2,1100.0,17.0,11,8,17,0.0
9640,36a5e013,0,4,83,1.0,1.0,1.0,1,35.0,0.0,83,83,4,1.0
9700,36ed4114,1,174,13,66.0,31.0,45.0,16,543.0,229.0,13,5,229,1.0
9707,36ee0c38,5,23,120,8.0,5.0,6.0,21,444.0,97.0,1,0,201,0.0
9709,36ef2e5f,0,250,14,204.0,12.0,59.0,9,1233.0,250.0,14,1,250,1.0
9718,36f86988,0,10,8,8.0,4.0,8.0,1,195.0,10.0,8,8,10,0.0
9740,370c94cc,0,8,10,1.0,1.0,1.0,1,412.0,8.0,10,10,8,0.0
9747,371e154e,0,11,3,2.0,1.0,1.0,1,203.0,11.0,3,3,11,1.0
9773,37464b87,3,6,78,0.0,0.0,0.0,9,526.0,20.0,22,21,54,1.0
9775,3746d260,0,29,34,7.0,4.0,7.0,5,388.0,20.0,34,22,29,1.0
9802,376b9d26,0,12,17,10.0,2.0,9.0,1,113.0,12.0,17,17,12,1.0
9826,378a8645,0,4,1,1.0,1.0,1.0,1,3.0,4.0,1,1,4,1.0
9842,379c6cfd,0,59,15,28.0,8.0,22.0,9,92.0,59.0,15,2,59,1.0
9872,37d89dbb,0,293,7,167.0,40.0,96.0,3,3688.0000000000005,293.0,7,1,293,1.0
9875,37de6da7,0,3,6,0.0,0.0,0.0,1,5.0,3.0,6,6,3,0.0
9882,37e98fe5,0,85,64,54.0,10.0,34.0,2,1699.0,33.0,64,4,85,1.0
9962,387b60b0,0,12,8,6.0,2.0,5.0,1,161.0,12.0,8,8,12,1.0
9971,38864f78,0,46,8,28.0,1.0,11.0,1,3195.0,46.0,8,8,46,0.0
9980,388efa8d,0,25,59,15.0,6.0,12.0,3,89.0,11.0,59,9,25,0.0
10003,38b244f3,0,23,12,8.0,4.0,7.0,3,205.0,23.0,12,11,23,0.0
10023,38c4dfda,4,59,89,1.0,1.0,1.0,30,135.0,42.0,87,5,77,1.0
10025,38ca5f6f,0,16,10,9.0,1.0,7.0,2,424.0,16.0,10,10,16,0.0
10115,3942da6b,0,123,20,66.0,28.0,45.0,10,1010.0000000000001,123.0,20,2,123,1.0
10179,399b2ec2,2,0,8,0.0,0.0,0.0,1,1148.0,20.0,8,8,20,0.0
10188,39a9c37a,0,45,31,20.0,4.0,14.0,3,348.0,45.0,31,14,45,0.0
10194,39b52250,0,136,16,84.0,14.0,43.0,12,605.0,136.0,16,1,136,0.0
10206,39c633f7,0,7,4,2.0,2.0,2.0,2,16.0,7.0,4,3,7,0.0
10211,39cc7b17,0,78,32,52.0,9.0,31.0,5,721.0,74.0,32,24,78,1.0
10213,39cedca5,0,54,8,45.0,12.0,30.0,2,1200.0,54.0,8,7,54,0.0
10264,3a18c589,0,3,14,0.0,0.0,0.0,1,32.0,3.0,14,14,3,0.0
10308,3a5c8433,0,3,5,1.0,1.0,1.0,1,3.0,3.0,5,5,3,0.0
10310,3a60a800,0,128,75,72.0,12.0,37.0,17,542.0,53.0,75,3,128,1.0
10327,3a76fa6c,0,59,35,25.0,8.0,12.0,3,1295.0,54.0,35,13,59,0.0
10339,3a8aecb6,0,22,63,6.0,3.0,4.0,3,327.0,3.0,63,2,22,1.0
10383,3aceadfc,0,28,82,15.0,1.0,10.0,2,1013.0000000000001,18.0,82,4,28,0.0
10405,3af60bb5,0,150,50,52.0,18.0,30.0,20,276.0,135.0,50,0,150,1.0
10415,3b01658a,0,96,129,12.0,5.0,9.0,8,440.0,0.0,129,58,96,1.0
10442,3b30b12c,0,59,28,19.0,8.0,10.0,4,494.00000000000006,59.0,28,3,59,1.0
10445,3b34780f,0,388,55,217.0,24.0,84.0,28,1002.0000000000001,377.0,55,3,388,0.0
10452,3b3ca5e9,0,64,10,55.0,6.0,32.0,4,1199.0,64.0,10,10,64,0.0
10528,3bb7c77e,0,15,14,9.0,2.0,5.0,1,235.00000000000003,15.0,14,13,15,0.0
10572,3bf6381d,0,34,18,15.0,6.0,10.0,2,1096.0,34.0,18,14,34,1.0
10577,3bfc6fac,0,19,7,14.0,1.0,10.0,2,434.0,19.0,7,3,19,0.0
10617,3c280906,0,194,16,118.0,12.0,31.0,10,854.0,194.0,16,10,194,0.0
10634,3c36cfc3,0,46,15,16.0,8.0,12.0,6,182.0,46.0,15,3,46,0.0
10638,3c3b4ad8,0,76,7,44.0,15.0,26.0,7,914.0000000000001,76.0,7,1,76,1.0
10643,3c49ff98,0,9,37,2.0,2.0,2.0,1,47.0,0.0,37,37,9,1.0
10653,3c5d3782,0,21,16,7.0,3.0,3.0,1,296.0,21.0,16,16,21,0.0
10696,3ca19d51,0,4,13,0.0,0.0,0.0,1,168.0,4.0,13,13,4,0.0
10704,3cad7f8f,0,7,9,3.0,2.0,3.0,1,669.0,8.0,9,9,8,0.0
10723,3cc38de3,0,9,0,6.0,1.0,4.0,1,177.0,9.0,0,0,9,0.0
10738,3cd434ec,1,421,80,361.0,36.0,139.0,80,465.00000000000006,177.0,42,2,1480,1.0
10755,3ceb0af5,0,20,13,14.0,3.0,6.0,1,406.0,20.0,13,13,20,0.0
10756,3ceb7bd8,0,96,27,24.0,4.0,10.0,5,1526.0,96.0,27,0,96,1.0
10804,3d20c133,0,4,13,1.0,1.0,1.0,1,9.0,4.0,13,13,4,0.0
10831,3d421b7f,0,10,4,4.0,1.0,2.0,1,1213.0,10.0,4,4,10,0.0
10946,3de50385,0,10,26,4.0,1.0,2.0,1,344.0,10.0,26,26,10,1.0
11031,3e63740e,0,236,23,144.0,28.0,82.0,10,704.0,236.0,23,1,236,0.0
11041,3e7085c4,0,89,29,74.0,16.0,50.0,3,1029.0,89.0,29,9,89,1.0
11053,3e8407a0,0,6,16,3.0,1.0,3.0,1,154.0,6.0,16,16,6,0.0
11056,3e89226c,0,30,67,8.0,7.0,8.0,5,199.0,13.0,67,3,30,1.0
11127,3eec8a89,0,13,10,5.0,1.0,3.0,2,342.0,13.0,10,3,13,0.0
11128,3ef3a5ec,0,26,23,7.0,2.0,2.0,7,7.0,26.0,23,3,26,0.0
11160,3f15358e,0,50,114,30.0,6.0,17.0,7,74.0,0.0,114,89,50,1.0
11178,3f36f53e,2,26,124,2.0,2.0,2.0,7,567.0,54.0,6,1,85,1.0
11181,3f41b801,0,21,90,7.0,2.0,4.0,5,319.0,0.0,90,57,21,1.0
11214,3f69a3a8,0,53,57,35.0,5.0,27.0,5,443.0,46.0,57,7,53,0.0
11222,3f722ffd,0,72,3,23.0,4.0,15.0,8,709.0,72.0,3,0,72,1.0
11226,3f778dc5,0,42,7,28.0,2.0,12.0,2,342.0,42.0,7,6,42,1.0
11252,3f9154ee,0,119,14,62.0,9.0,38.0,14,255.00000000000003,119.0,14,0,119,0.0
11272,3fb260e3,0,71,34,20.0,12.0,17.0,7,385.0,64.0,34,0,71,1.0
11274,3fb60210,0,35,12,22.0,8.0,17.0,2,507.00000000000006,35.0,12,0,35,1.0
11362,402e5b5f,0,4,8,1.0,1.0,1.0,1,15.000000000000002,4.0,8,8,4,0.0
11441,40a68b39,0,226,42,139.0,24.0,63.0,15,733.0,150.0,42,3,226,1.0
11445,40adb1a1,0,7,9,2.0,1.0,2.0,2,26.0,7.0,9,0,7,0.0
11457,40bf94ad,0,14,9,2.0,2.0,2.0,1,332.0,14.0,9,9,14,0.0
11513,40fe616c,1,65,137,8.0,4.0,7.0,14,268.0,4.0,126,21,106,1.0
11529,410a63bf,0,28,16,15.0,6.0,12.0,5,45.0,28.0,16,1,28,0.0
11539,41169133,0,88,13,60.0,12.0,39.0,7,313.0,88.0,13,1,88,1.0
11559,412c10b7,0,299,133,137.0,33.0,75.0,38,478.00000000000006,190.0,133,0,299,1.0
11560,412c80d5,0,47,7,22.0,4.0,12.0,2,1120.0,47.0,7,0,47,1.0
11575,4143f639,0,65,19,25.0,7.0,17.0,6,181.0,65.0,19,13,65,0.0
11585,4154ffae,0,38,23,14.0,7.0,14.0,2,1224.0,38.0,23,6,38,1.0
11586,415624d4,0,17,2,4.0,1.0,3.0,1,2014.0000000000002,17.0,2,2,17,0.0
11598,4167535c,0,40,63,7.0,2.0,6.0,13,34.0,18.0,63,19,40,1.0
11601,416989dc,0,86,86,20.0,2.0,11.0,21,156.0,82.0,86,0,86,0.0
11621,4181a5c0,0,17,20,5.0,4.0,5.0,3,278.0,17.0,20,2,17,0.0
11629,418911bf,0,5,3,1.0,1.0,1.0,1,205.0,5.0,3,3,5,0.0
11667,41c20281,0,18,3,5.0,2.0,4.0,2,492.00000000000006,18.0,3,2,18,0.0
11675,41cbe4f3,0,40,57,15.0,8.0,10.0,2,1766.0,0.0,57,57,40,1.0
11699,41f0717f,0,20,23,11.0,3.0,10.0,2,78.0,20.0,23,23,20,1.0
11708,4202bf6d,0,24,11,20.0,4.0,19.0,1,178.0,24.0,11,11,24,1.0
11709,42045acb,0,15,27,2.0,1.0,1.0,3,190.0,15.0,27,5,15,1.0
11787,4276d5de,0,428,88,129.0,17.0,46.0,61,443.0,136.0,88,0,428,1.0
11799,4283f064,5,34,1,30.0,14.0,25.0,7,2740.0,315.0,0,0,315,1.0
11820,42934000,0,23,31,12.0,2.0,6.0,2,584.0,23.0,31,20,23,1.0
11834,42a7640b,0,98,14,68.0,7.0,27.0,9,278.0,98.0,14,7,98,0.0
11935,433d799f,0,66,29,36.0,7.0,21.0,11,167.0,66.0,29,0,66,1.0
11945,4349d06b,0,36,3,16.0,2.0,7.0,3,199.0,36.0,3,0,36,0.0
11979,43790d8f,0,76,13,62.0,21.0,47.0,2,716.0,76.0,13,2,76,1.0
11983,437e5f90,0,19,13,7.0,2.0,5.0,2,112.0,19.0,13,12,19,0.0
12019,43a77498,0,4,13,1.0,1.0,1.0,1,30.000000000000004,4.0,13,13,4,0.0
12021,43a9e70f,1,426,72,276.0,36.0,108.0,72,219.0,350.0,68,0,548,1.0
12034,43b77600,0,2,8,0.0,0.0,0.0,1,0.0,2.0,8,8,2,1.0
12046,43d76288,1,5,26,2.0,1.0,1.0,6,236.00000000000003,43.0,4,4,43,0.0
12136,445b333c,3,12,4,1.0,1.0,1.0,9,241.00000000000003,39.0,3,0,39,1.0
12139,4463dc28,0,111,84,40.0,6.0,26.0,5,277.0,81.0,84,3,111,1.0
12146,44699b60,3,140,148,97.0,12.0,36.0,43,390.0,361.0,13,0,510,1.0
12150,446e2937,0,42,22,19.0,10.0,15.0,7,168.0,42.0,22,15,42,0.0
12163,448a0ca8,0,6,0,2.0,1.0,1.0,1,530.0,6.0,0,0,6,0.0
12184,44a0af1c,1,349,55,95.0,20.0,64.0,84,210.0,141.0,55,7,350,1.0
12246,44ef34f4,0,12,28,2.0,1.0,1.0,1,118.00000000000001,12.0,28,28,12,1.0
12256,44fd5bd1,0,44,62,30.0,11.0,16.0,2,390.0,0.0,62,55,44,1.0
12266,4504bef1,3,270,105,155.0,16.0,77.0,72,445.0,416.0,22,1,611,1.0
12314,4540d4fc,0,3,5,0.0,0.0,0.0,1,4.0,3.0,5,5,3,0.0
12316,45422088,0,103,36,63.0,7.0,22.0,1,4477.0,0.0,36,36,103,1.0
12336,455e23a9,0,16,131,5.0,5.0,5.0,2,196.0,0.0,131,37,16,1.0
12345,456726f4,0,4,8,1.0,1.0,1.0,1,46.0,4.0,8,8,4,0.0
12352,456ead1b,0,138,41,100.0,20.0,66.0,11,305.0,116.0,41,2,138,1.0
12365,45859521,0,16,1,12.0,5.0,10.0,2,42.0,16.0,1,0,16,0.0
12367,4589eb06,0,27,21,8.0,6.0,8.0,4,446.0,27.0,21,2,27,0.0
12378,45a1fa0d,0,19,11,7.0,4.0,5.0,3,134.0,19.0,11,10,19,1.0
12379,45a66d74,0,336,107,165.0,25.0,83.0,27,427.0,296.0,107,0,336,1.0
12421,45d85d98,0,7,83,3.0,1.0,1.0,1,121.00000000000001,0.0,83,83,7,0.0
12474,46319c45,0,40,14,10.0,10.0,10.0,2,1048.0,40.0,14,0,40,0.0
12479,4636ee0e,0,5,3,1.0,1.0,1.0,1,200.0,6.0,3,3,6,1.0
12494,4645a8e8,0,53,20,24.0,6.0,14.0,1,505.00000000000006,53.0,20,20,53,0.0
12496,4646796c,0,8,57,2.0,1.0,2.0,2,1.0,0.0,57,35,8,1.0
12518,46668c0f,0,17,6,4.0,1.0,1.0,4,74.0,17.0,6,1,17,0.0
12526,46700538,0,8,45,4.0,3.0,4.0,1,146.0,0.0,45,45,8,0.0
12534,467dff6b,0,94,52,61.0,14.0,37.0,13,236.00000000000003,68.0,52,2,94,1.0
12567,46af4cd0,1,97,39,7.0,7.0,7.0,73,78.0,60.0,37,16,153,1.0
12576,46c17010,0,60,9,47.0,6.0,30.0,4,412.0,60.0,9,6,60,1.0
12591,46d4d96c,0,4,10,0.0,0.0,0.0,1,1.0,4.0,10,10,4,1.0
12612,46fdb667,0,42,8,31.0,5.0,24.0,1,850.0,42.0,8,8,42,0.0
12616,47131054,0,9,2,7.0,1.0,6.0,1,111.0,9.0,2,2,9,0.0
12627,472780ac,0,49,38,22.0,6.0,14.0,7,194.0,46.0,38,15,49,0.0
12652,475763dd,0,3,7,2.0,1.0,2.0,1,67.0,3.0,7,7,3,0.0
12654,4759b4df,0,43,13,16.0,4.0,12.0,3,1280.0,43.0,13,6,43,1.0
12718,47b6e118,0,10,2,2.0,1.0,2.0,2,62.00000000000001,10.0,2,0,10,0.0
12727,47c33c75,0,151,55,48.0,10.0,27.0,21,422.0,95.0,55,0,151,1.0
12736,47dd797a,0,117,41,99.0,6.0,37.0,9,221.0,107.0,41,1,117,0.0
12742,47e835a9,0,62,10,49.0,7.0,30.0,2,602.0,62.0,10,3,62,0.0
12766,48071045,0,384,26,157.0,29.0,69.0,21,664.0,384.0,26,0,384,1.0
12773,4811aa49,0,5,16,1.0,1.0,1.0,2,0.0,5.0,16,16,5,0.0
12807,48488f7d,0,136,12,71.0,7.0,37.0,15,252.00000000000003,136.0,12,0,136,1.0
12811,484dad31,1,36,22,11.0,4.0,6.0,23,360.0,189.0,16,7,189,0.0
12827,4869e91e,0,9,8,2.0,2.0,2.0,1,419.0,9.0,8,8,9,0.0
12842,48716370,11,15,15,12.0,2.0,12.0,17,664.0,184.0,1,1,184,1.0
12863,48971f23,0,95,135,21.0,8.0,14.0,13,199.0,57.0,135,29,95,1.0
12867,489dca13,0,4,1,1.0,1.0,1.0,1,3.0,4.0,1,1,4,0.0
12951,49179d29,0,6,0,2.0,1.0,2.0,2,4.0,6.0,0,0,6,1.0
12952,4919e8ba,0,50,16,30.0,7.0,28.0,5,297.0,50.0,16,14,50,0.0
12960,492a5b4d,0,23,3,16.0,2.0,12.0,1,172.0,23.0,3,3,23,0.0
12976,493f068a,0,408,140,141.0,45.0,91.0,36,243.00000000000003,2.0,140,31,408,1.0
12982,4943de31,0,32,4,23.0,7.0,17.0,1,679.0,32.0,4,4,32,0.0
13000,4960ac95,0,23,15,11.0,2.0,8.0,1,504.00000000000006,23.0,15,15,23,0.0
13015,496ef3e5,4,21,78,6.0,4.0,6.0,4,416.0,18.0,56,7,35,1.0
13032,498bb046,1,6,3,1.0,1.0,1.0,2,1006.0000000000001,11.0,3,3,11,0.0
13056,49a4176c,0,11,6,3.0,1.0,2.0,1,632.0,11.0,6,6,11,0.0
13110,49e2d953,0,33,9,13.0,3.0,7.0,3,431.0,33.0,9,2,33,0.0
13140,49fffa02,0,16,40,6.0,1.0,4.0,2,156.0,11.0,40,2,16,0.0
13172,4a375344,0,15,13,4.0,3.0,3.0,1,745.0,15.0,13,13,15,0.0
13186,4a473eb7,0,89,65,50.0,5.0,24.0,9,259.0,78.0,65,1,89,1.0
13188,4a4ad35b,0,20,14,15.0,2.0,9.0,1,692.0,20.0,14,14,20,0.0
13202,4a635360,3,2,77,0.0,0.0,0.0,25,402.0,279.0,1,1,386,1.0
13220,4a78636f,0,26,72,10.0,2.0,6.0,4,358.0,12.0,72,9,26,1.0
13231,4a915ec2,0,158,8,108.0,11.0,45.0,8,1333.0,158.0,8,3,158,1.0
13249,4aa7ba25,0,18,15,3.0,1.0,1.0,1,707.0,18.0,15,15,18,0.0
13273,4ad5cd08,0,10,11,2.0,2.0,2.0,1,1397.0,10.0,11,11,10,0.0
